date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:31	12579/12579	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Jul%202023%2008:52:33%20GMT	https://bencoineth.com/robots.txt		(from )
15:52:31	12300/12300	---M--	200	added ('OK')	text/html	etag:%222aeb7b98e8fd91:0%22	https://bencoineth.com/	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/index.html	(from )
15:52:34	200961/200961	---M--	200	added ('OK')	text/css	etag:%22e13add338a8fd91:0%22	https://bencoineth.com/assets/bootstrap/css/bootstrap.min.css	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/assets/bootstrap/css/bootstrap.min.css	(from https://bencoineth.com/)
15:52:34	28326/28326	---M--	200	added ('OK')	text/css	etag:%22b3df95358a8fd91:0%22	https://bencoineth.com/assets/css/aos.min.css	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/assets/css/aos.min.css	(from https://bencoineth.com/)
15:52:36	36623/36623	---M--	200	added ('OK')	text/css	etag:%221ceba358a8fd91:0%22	https://bencoineth.com/assets/css/animate.min.css	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/assets/css/animate.min.css	(from https://bencoineth.com/)
15:52:37	171/171	---M--	200	added ('OK')	text/css	etag:%226ce324368a8fd91:0%22	https://bencoineth.com/assets/css/Clean-Button-Scale-Hover-Effect.css	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/assets/css/Clean-Button-Scale-Hover-Effect.css	(from https://bencoineth.com/)
15:52:38	449/449	---M--	200	added ('OK')	text/css	etag:%222b63a3368a8fd91:0%22	https://bencoineth.com/assets/css/untitled.css	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/assets/css/untitled.css	(from https://bencoineth.com/)
15:52:39	3825/3825	---M--	200	added ('OK')	image/png	etag:%22f8f08ec88d8fd91:0%22	https://bencoineth.com/favicon.png	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/favicon.png	(from https://bencoineth.com/)
15:52:44	62879/62879	---M--	200	added ('OK')	image/png	etag:%22b4fffd3b8a8fd91:0%22	https://bencoineth.com/assets/img/Ben%20telegram.png	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/assets/img/Ben%20telegram.png	(from https://bencoineth.com/)
15:52:44	249560/249560	---M--	200	added ('OK')	image/png	etag:%22873d813c8a8fd91:0%22	https://bencoineth.com/assets/img/Ben%20transparent%20.png	D:/ToolKits/CloneWebsite/Cloned/BECOIN/bencoineth.com/assets/img/Ben%20transparent%20.png	(from https://bencoineth.com/)
