date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:23	2663/2663	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22ec17fbd0863251278e6b4e94ec072e26%22	https://www.seda.xyz/robots.txt		(from )
16:07:23	45839/45839	---MCZ	200	added ('OK')	text/html	etag:W/%22c3104220271ffaf2755f2fee32e3622c%22	https://www.seda.xyz/	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/www.seda.xyz/index.html	(from )
16:07:25	7348/7348	---M--	200	added ('OK')	image/png	etag:%220519a6dd0d654780373fa25aeacfd077%22	https://www.seda.xyz/favicon.png	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/www.seda.xyz/favicon.png	(from https://www.seda.xyz/)
16:07:25	839939/839939	---M--	200	added ('OK')	image/png	etag:%222c4c7551307588d49fce25be8069f08e%22	https://images.ctfassets.net/qqk6u6a33mqj/6q14RMppafSed0HfbbDZRZ/6766fa4c9001d40fb245e703ae710f98/SEDA_SEO.png	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/images.ctfassets.net/qqk6u6a33mqj/6q14RMppafSed0HfbbDZRZ/6766fa4c9001d40fb245e703ae710f98/SEDA_SEO.png	(from https://www.seda.xyz/)
16:07:25	965/965	---M--	200	added ('OK')	text/css	etag:%22776d02b0df4b09f1cd0d191ba1ae62e3%22	https://www.seda.xyz/fonts/styles.css	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/www.seda.xyz/fonts/styles.css	(from https://www.seda.xyz/)
16:07:26	62549/62549	---M-Z	200	added ('OK')	application/javascript	etag:%22605c4223-f455%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.6.1/gsap.min.js	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/cdnjs.cloudflare.com/ajax/libs/gsap/3.6.1/gsap.min.js	(from https://www.seda.xyz/)
16:07:27	20754/20754	---M-Z	200	added ('OK')	application/javascript	etag:%22605c4223-5112%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.6.1/ScrollTrigger.min.js	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/cdnjs.cloudflare.com/ajax/libs/gsap/3.6.1/ScrollTrigger.min.js	(from https://www.seda.xyz/)
16:07:27	1346/1346	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2006%20Jul%202023%2009:07:30%20GMT	https://plausible.io/js/script.js	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/plausible.io/js/script.js	(from https://www.seda.xyz/)
16:07:28	610/610	---M--	200	added ('OK')	text/css	etag:%221745bfb37000389950e5de13bb9f7b1d%22	https://www.seda.xyz/_next/static/css/b8e302d41b271438.css	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/www.seda.xyz/_next/static/css/b8e302d41b271438.css	(from https://www.seda.xyz/)
16:07:29	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://www.seda.xyz/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	D:/ToolKits/CloneWebsite/Cloned/www.seda.xyz/www.seda.xyz/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.seda.xyz/)
