date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:28	329/329	---M-Z	200	added ('OK')	text/plain	date:Wed,%2005%20Jul%202023%2011:45:33%20GMT	https://www.zoomer.money/robots.txt		(from )
15:57:28	343921/343921	---M-Z	200	added ('OK')	text/html	etag:W/%2248ffd3128970f0d982272ae89edc25c0--gzip%22	https://www.zoomer.money/	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/www.zoomer.money/index.html	(from )
15:57:30	16788/16788	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2006%20Jul%202023%2008:57:32%20GMT	http://use.typekit.net/ik/b5LLQjnFljoe57iSlaVNpE3YnP2CI-8OptFDOpXDwBXfelG2fFHN4UJLFRbh52jhWDjXjQIDwewkjR6XwQSkwRscZA4yZAscwgnaMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1Tzdhu8ScuzdcmoO1FUiABkZWF3jAF8OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0pcNzdAmkOcuzdcmoOYiaikoEdhNlZW4ldho8pPoDSWmyScmDSeBRZPoRdhXCpcNzdAmkOcuzdcmoOYTzdhu8ScuzdcmoO1FUiABkZWF3jAF8OcFzdPJ--WsROABhjAoXOAiyScs8OAizieyTjku3Scv7f6KuC3JbMg6BJMJ7f6KDC3JbMg6YJMHbMLA2y-9e.js	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/use.typekit.net/ik/b5LLQjnFljoe57iSlaVNpE3YnP2CI-8OptFDOpXDwBXfelG2fFHN4UJLFRbh52jhWDjXjQIDwewkjR6XwQSkwRscZA4yZAscwgnaMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBD	(from https://www.zoomer.money/)
15:57:30	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.zoomer.money/)
15:57:32	46351/46351	---M-Z	200	added ('OK')	text/javascript	etag:%2263b6b61a541e30262a4e47ac1084b8a5%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-ba5052d235666aeef517c-min.en-US.js	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-ba5052d235666aeef517c-min.en-US.js	(from https://www.zoomer.money/)
15:57:35	122068/122068	---M-Z	200	added ('OK')	text/javascript	etag:%22e47217becab2e9cc8e5fc5bf156a2878%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-ebb5521f1537302c83345-min.en-US.js	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-ebb5521f1537302c83345-min.en-US.js	(from https://www.zoomer.money/)
15:57:36	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.zoomer.money/)
15:57:46	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%227f7b35e7decd296c9fe41fafc6d26ca6%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-ad6fc5b14d9d8d4da42d6-min.en-US.js	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-ad6fc5b14d9d8d4da42d6-min.en-US.js	(from https://www.zoomer.money/)
15:57:48	589307/589307	---M-Z	200	added ('OK')	text/javascript	etag:%2277a546c78e5335ac223ce347591cf662%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-5082e2dab696b020ac83a-min.en-US.js	(from https://www.zoomer.money/)
15:57:53	1117796/1117796	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jul%202023%2008:57:52%20GMT	https://static1.squarespace.com/static/versioned-site-css/64a130c2b8417224febaedf0/3/5c5a519771c10ba3470d8101/64a130c2b8417224febaee0c/1403/site.css	D:/ToolKits/CloneWebsite/Cloned/www.zoomer.money/static1.squarespace.com/static/versioned-site-css/64a130c2b8417224febaedf0/3/5c5a519771c10ba3470d8101/64a130c2b8417224febaee0c/1403/site.css	(from https://www.zoomer.money/)
